Item Name,Item URL,Item Price,Rating,Number of Reviews
"Vivinkaa Sling Bag for Women, Bags for Women, Sling Bag, Purse for Women, Sling Bag for Women Stylish, Sling Bag for Girls, Women Sling Bag, Bag for Girls - Indigo",https://www.amazon.in/Vivinkaa-Womens-Sling-Bag-Blue/dp/B077WSKG53/ref=sr_1_136?crid=2M096C61O4MLT&keywords=bags&qid=1685030917&sprefix=ba%2Caps%2C283&sr=8-136,549,3.8 out of 5 stars,"1,899"
Gear Bounce 27 Ltrs Water Resistant School Bag/Backpack/College Bag for Men/Women-Grey Orange,https://www.amazon.in/Gear-Bounce-Backpack-Grey-Orange-BKPBOUNCE0604/dp/B097KCLF5F/ref=sr_1_137?crid=2M096C61O4MLT&keywords=bags&qid=1685030917&sprefix=ba%2Caps%2C283&sr=8-137,615,3.6 out of 5 stars,422
"Pqwata Gym Bag, Travel Bag Sport Duffel Bag, Large Capacity Portable Foldable, Carry Luggage Bag for Weekender Sports, Vacation for Men Women (Multy Colour)",https://www.amazon.in/Pqwata-Capacity-Portable-Foldable-Weekender/dp/B09YRZ3TLY/ref=sr_1_138?crid=2M096C61O4MLT&keywords=bags&qid=1685030917&sprefix=ba%2Caps%2C283&sr=8-138,799,4.5 out of 5 stars,10
AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,https://www.amazon.in/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79/ref=sr_1_139?crid=2M096C61O4MLT&keywords=bags&qid=1685030917&sprefix=ba%2Caps%2C283&sr=8-139,699,4.2 out of 5 stars,533
"MOKOBARA The Work Backpack 15.6"" Inch Laptop | Travel Backpack For Men And Women",https://www.amazon.in/Mokobara-Backpack-Leather-Resistant-Laptop/dp/B0B7X81X69/ref=sr_1_140?crid=2M096C61O4MLT&keywords=bags&qid=1685030917&sprefix=ba%2Caps%2C283&sr=8-140,"7,499",4.5 out of 5 stars,51
F Gear Colorado Grey Orange 39 Ltrs Laptop Backpack (3814),https://www.amazon.in/Gear-Colorado-Orange-Laptop-Backpack/dp/B097K6KD7W/ref=sr_1_141?crid=2M096C61O4MLT&keywords=bags&qid=1685030917&sprefix=ba%2Caps%2C283&sr=8-141,895,4.3 out of 5 stars,156
Wildcraft Work Packs'18 21 Ltrs Black Laptop Backpack (Streak Plus),https://www.amazon.in/Wildcraft-Packs18-Laptop-Backpack-Streak/dp/B07FC4D9B5/ref=sr_1_142?crid=2M096C61O4MLT&keywords=bags&qid=1685030917&sprefix=ba%2Caps%2C283&sr=8-142,"1,549",4.4 out of 5 stars,"1,943"
Impulse rucksack bags 75 litres travel bag for men tourist bag for travel backpack for hiking trekking Bag for men camping thames blue bag with 1 Year Warranty,https://www.amazon.in/Impulse-rucksack-75-backpack-trekking/dp/B09T9XDQ99/ref=sr_1_143?crid=2M096C61O4MLT&keywords=bags&qid=1685030917&sprefix=ba%2Caps%2C283&sr=8-143,"1,244",4.0 out of 5 stars,363
"PAZZO Alto 40L Casual Backpack - 3 Compartment Travel Backpack, College|School Bag with 1 Year Warranty",https://www.amazon.in/PAZZO-Alto-40L-Casual-Backpack/dp/B07VT3F795/ref=sr_1_144?crid=2M096C61O4MLT&keywords=bags&qid=1685030917&sprefix=ba%2Caps%2C283&sr=8-144,849,4.0 out of 5 stars,"1,736"
Half Moon Valex Unisex School Bag/Laptop Backpack/College Bagpack/Office Back Packed | Laptop Bag for Men & Women | School Bags for Boys & Girls with Small Pockets & Laptop Compartment,https://www.amazon.in/Half-Moon-Laptop-Bag-Compartment/dp/B0C1NZLF67/ref=sr_1_145?crid=2M096C61O4MLT&keywords=bags&qid=1685030924&sprefix=ba%2Caps%2C283&sr=8-145,549,4.6 out of 5 stars,15
F Gear Enzo Sports Waist Bag (.Black Blue),https://www.amazon.in/F-Gear-Enzo-Black-Blue-Waist-Bag/dp/B0862LXJYT/ref=sr_1_146?crid=2M096C61O4MLT&keywords=bags&qid=1685030924&sprefix=ba%2Caps%2C283&sr=8-146,148,4.2 out of 5 stars,"1,190"
"MOKOBARA The Work Backpack 15.6"" Inch Laptop | Travel Backpack For Men And Women",https://www.amazon.in/Mokobara-Backpack-Leather-Resistant-Laptop/dp/B0B7X81X69/ref=sr_1_147?crid=2M096C61O4MLT&keywords=bags&qid=1685030924&sprefix=ba%2Caps%2C283&sr=8-147,"7,499",4.5 out of 5 stars,51
"GENIE Miami Casual Backpacks for Women, 14 inch, Stylish and Trendy College backpacks for girls, Water Resistant and Lightweight Mini Bags Latest collection (Rose)",https://www.amazon.in/Genie-Miami-litres-Casual-Backpack/dp/B07SRGQ2R4/ref=sr_1_148?crid=2M096C61O4MLT&keywords=bags&qid=1685030924&sprefix=ba%2Caps%2C283&sr=8-148,749,4.2 out of 5 stars,"2,126"
"Storite Stylish Multi-Pocket Small Sling Cross Body Travel Messenger One Side Shoulder Bag for Men & Women (Brown, 20.5x9x16.5cm)",https://www.amazon.in/Storite-Leather-Sling-Bag-Brown/dp/B08TR8RMNH/ref=sr_1_149?crid=2M096C61O4MLT&keywords=bags&qid=1685030924&sprefix=ba%2Caps%2C283&sr=8-149,798,4.0 out of 5 stars,864
"Nishi Medium Kids Backpack Waterproof Backpack, Girls & Women Stylish Trendy College, School & College Bag Black",https://www.amazon.in/Nishi-Backpack-Waterproof-Stylish-College/dp/B0BR9W54MW/ref=sr_1_150?crid=2M096C61O4MLT&keywords=bags&qid=1685030924&sprefix=ba%2Caps%2C283&sr=8-150,369,3.3 out of 5 stars,24
American Tourister SPIN LAPTOP BACKPACK 28L POLYESTER TEAL,https://www.amazon.in/American-Tourister-LAPTOP-BACKPACK-POLYESTER/dp/B0BLCC945Z/ref=sr_1_151?crid=2M096C61O4MLT&keywords=bags&qid=1685030924&sprefix=ba%2Caps%2C283&sr=8-151,"1,399",4.1 out of 5 stars,18
